Geography,Time,Metric,Product,value
Global,2023,Revenue,Electronics,161000.0
Global,Jan,Revenue,Electronics,16292.03
Global,Feb,Revenue,Electronics,12312.52
Global,Mar,Revenue,Electronics,10589.37
Global,Apr,Revenue,Electronics,12334.82
Global,May,Revenue,Electronics,7310.7
Global,Jun,Revenue,Electronics,13520.72
Global,Jul,Revenue,Electronics,12136.12
Global,Aug,Revenue,Electronics,12296.51
Global,Sep,Revenue,Electronics,15088.04
Global,Oct,Revenue,Electronics,18287.57
Global,Nov,Revenue,Electronics,18185.14
Global,Dec,Revenue,Electronics,12646.46
N-AM,2023,Revenue,Electronics,55000.0
N-AM,Jan,Revenue,Electronics,5041.3
N-AM,Feb,Revenue,Electronics,3685.01
N-AM,Mar,Revenue,Electronics,4109.71
N-AM,Apr,Revenue,Electronics,5400.47
N-AM,May,Revenue,Electronics,2459.21
N-AM,Jun,Revenue,Electronics,4793.55
N-AM,Jul,Revenue,Electronics,4277.07
N-AM,Aug,Revenue,Electronics,3701.58
N-AM,Sep,Revenue,Electronics,5077.14
N-AM,Oct,Revenue,Electronics,6718.85
N-AM,Nov,Revenue,Electronics,5347.75
N-AM,Dec,Revenue,Electronics,4388.36
US,2023,Revenue,Electronics,35000.0
US,Jan,Revenue,Electronics,4111.81
US,Feb,Revenue,Electronics,1523.95
US,Mar,Revenue,Electronics,3266.94
US,Apr,Revenue,Electronics,4108.85
US,May,Revenue,Electronics,1354.0
US,Jun,Revenue,Electronics,2906.33
US,Jul,Revenue,Electronics,3287.94
US,Aug,Revenue,Electronics,1759.84
US,Sep,Revenue,Electronics,3102.7
US,Oct,Revenue,Electronics,4203.08
US,Nov,Revenue,Electronics,2644.32
CAN,2023,Revenue,Electronics,20000.0
CAN,Jan,Revenue,Electronics,929.49
CAN,Feb,Revenue,Electronics,2161.06
CAN,Mar,Revenue,Electronics,842.77
CAN,Apr,Revenue,Electronics,1291.62
CAN,May,Revenue,Electronics,1105.21
CAN,Jun,Revenue,Electronics,1887.22
CAN,Jul,Revenue,Electronics,989.13
CAN,Aug,Revenue,Electronics,1941.74
CAN,Sep,Revenue,Electronics,1974.44
CAN,Oct,Revenue,Electronics,2515.77
CAN,Nov,Revenue,Electronics,2703.43
CAN,Dec,Revenue,Electronics,1658.12
Europe,2023,Revenue,Electronics,50000.0
Europe,Jan,Revenue,Electronics,5128.85
Europe,Feb,Revenue,Electronics,2801.28
Europe,Mar,Revenue,Electronics,3284.94
Europe,Apr,Revenue,Electronics,3538.79
Europe,May,Revenue,Electronics,2600.73
Europe,Jun,Revenue,Electronics,3377.84
Europe,Jul,Revenue,Electronics,2693.86
Europe,Aug,Revenue,Electronics,5220.56
Europe,Sep,Revenue,Electronics,4631.0
Europe,Oct,Revenue,Electronics,5770.53
Europe,Nov,Revenue,Electronics,6832.46
Europe,Dec,Revenue,Electronics,4119.16
GER,2023,Revenue,Electronics,35000.0
GER,Jan,Revenue,Electronics,3327.68
GER,Feb,Revenue,Electronics,1657.55
GER,Mar,Revenue,Electronics,2654.07
GER,Apr,Revenue,Electronics,2077.79
GER,May,Revenue,Electronics,1533.6
GER,Jun,Revenue,Electronics,2339.02
GER,Jul,Revenue,Electronics,2019.82
GER,Aug,Revenue,Electronics,3831.72
GER,Sep,Revenue,Electronics,3241.39
GER,Oct,Revenue,Electronics,4545.81
GER,Nov,Revenue,Electronics,4916.06
GER,Dec,Revenue,Electronics,2855.49
Asia,2023,Revenue,Electronics,56000.0
Asia,Jan,Revenue,Electronics,6121.88
Asia,Feb,Revenue,Electronics,5826.23
Asia,Mar,Revenue,Electronics,3194.72
Asia,Apr,Revenue,Electronics,3395.56
Asia,May,Revenue,Electronics,2250.76
Asia,Jun,Revenue,Electronics,5349.33
Asia,Jul,Revenue,Electronics,5165.19
Asia,Aug,Revenue,Electronics,3374.37
Asia,Sep,Revenue,Electronics,5379.9
Asia,Oct,Revenue,Electronics,5798.19
Asia,Nov,Revenue,Electronics,6004.93
Asia,Dec,Revenue,Electronics,4138.94
CH,2023,Revenue,Electronics,31000.0
CH,Jan,Revenue,Electronics,3776.4
CH,Feb,Revenue,Electronics,3005.72
CH,Mar,Revenue,Electronics,2112.78
CH,Apr,Revenue,Electronics,2095.02
CH,May,Revenue,Electronics,1126.31
CH,Jun,Revenue,Electronics,3069.83
CH,Jul,Revenue,Electronics,2125.55
CH,Aug,Revenue,Electronics,2059.42
CH,Sep,Revenue,Electronics,2793.71
CH,Oct,Revenue,Electronics,3350.69
CH,Nov,Revenue,Electronics,3306.57
CH,Dec,Revenue,Electronics,2178.0
JA,2023,Revenue,Electronics,25000.0
JA,Jan,Revenue,Electronics,2345.48
JA,Feb,Revenue,Electronics,2820.51
JA,Mar,Revenue,Electronics,1081.94
JA,Apr,Revenue,Electronics,1300.54
JA,May,Revenue,Electronics,1124.45
JA,Jun,Revenue,Electronics,2279.5
JA,Jul,Revenue,Electronics,3039.64
JA,Aug,Revenue,Electronics,1314.95
