Geography,Metric,Product,Time,value
Asia,Revenue,Electronics,2023,-9692.989999999998
Asia,Revenue,Electronics,Dec,1960.9399999999996
Asia,Revenue,Electronics,Nov,2698.36
Asia,Revenue,Electronics,Oct,2447.4999999999995
Asia,Revenue,Electronics,Sep,2586.1899999999996
CAN,Revenue,Electronics,Apr,1291.62
CAN,Revenue,Electronics,Aug,1941.74
CAN,Revenue,Electronics,Dec,1658.12
CAN,Revenue,Electronics,Feb,2161.06
CAN,Revenue,Electronics,Jan,929.49
CAN,Revenue,Electronics,Jul,989.13
CAN,Revenue,Electronics,Jun,1887.22
CAN,Revenue,Electronics,Mar,842.77
CAN,Revenue,Electronics,May,1105.21
CAN,Revenue,Electronics,Nov,2703.43
CAN,Revenue,Electronics,Oct,2515.77
CAN,Revenue,Electronics,Sep,1974.44
CH,Revenue,Electronics,Apr,2095.02
CH,Revenue,Electronics,Aug,2059.42
CH,Revenue,Electronics,Dec,2178.0
CH,Revenue,Electronics,Feb,3005.72
CH,Revenue,Electronics,Jan,3776.4
CH,Revenue,Electronics,Jul,2125.55
CH,Revenue,Electronics,Jun,3069.83
CH,Revenue,Electronics,Mar,2112.78
CH,Revenue,Electronics,May,1126.31
CH,Revenue,Electronics,Nov,3306.57
CH,Revenue,Electronics,Oct,3350.69
CH,Revenue,Electronics,Sep,2793.71
Europe,Revenue,Electronics,Apr,1461.0
Europe,Revenue,Electronics,Aug,1388.8400000000006
Europe,Revenue,Electronics,Dec,1263.67
Europe,Revenue,Electronics,Feb,1143.7300000000002
Europe,Revenue,Electronics,Jan,1801.1700000000005
Europe,Revenue,Electronics,Jul,674.0400000000002
Europe,Revenue,Electronics,Jun,1038.8200000000002
Europe,Revenue,Electronics,Mar,630.8699999999999
Europe,Revenue,Electronics,May,1067.13
Europe,Revenue,Electronics,Nov,1916.3999999999996
Europe,Revenue,Electronics,Oct,1224.7199999999993
Europe,Revenue,Electronics,Sep,1389.6100000000001
GER,Revenue,Electronics,Apr,2077.79
GER,Revenue,Electronics,Aug,3831.72
GER,Revenue,Electronics,Dec,2855.49
GER,Revenue,Electronics,Feb,1657.55
GER,Revenue,Electronics,Jan,3327.68
GER,Revenue,Electronics,Jul,2019.82
GER,Revenue,Electronics,Jun,2339.02
GER,Revenue,Electronics,Mar,2654.07
GER,Revenue,Electronics,May,1533.6
GER,Revenue,Electronics,Nov,4916.06
GER,Revenue,Electronics,Oct,4545.81
GER,Revenue,Electronics,Sep,3241.39
JA,Revenue,Electronics,2023,9692.99
JA,Revenue,Electronics,Apr,1300.54
JA,Revenue,Electronics,Aug,1314.95
JA,Revenue,Electronics,Feb,2820.51
JA,Revenue,Electronics,Jan,2345.48
JA,Revenue,Electronics,Jul,3039.64
JA,Revenue,Electronics,Jun,2279.5
JA,Revenue,Electronics,Mar,1081.94
JA,Revenue,Electronics,May,1124.45
N-AM,Revenue,Electronics,2023,-2730.24
N-AM,Revenue,Electronics,Dec,2730.24
US,Revenue,Electronics,2023,2730.2399999999993
US,Revenue,Electronics,Apr,4108.85
US,Revenue,Electronics,Aug,1759.84
US,Revenue,Electronics,Feb,1523.95
US,Revenue,Electronics,Jan,4111.81
US,Revenue,Electronics,Jul,3287.94
US,Revenue,Electronics,Jun,2906.33
US,Revenue,Electronics,Mar,3266.94
US,Revenue,Electronics,May,1354.0
US,Revenue,Electronics,Nov,2644.32
US,Revenue,Electronics,Oct,4203.08
US,Revenue,Electronics,Sep,3102.7
